Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
datrex,16,16,480,28,1.32,https://72hours.com/collections/datrex,0,0,0.00,0.99,0,"[39,48,59,59,39,39,48,48,59,59,59,59]",2025-09-09,"Local pack, Sitelinks, Image, Featured images, Video Carousel, People also ask, Popular products","commercial, navigational",Organic
emergency bags for schools,16,16,210,14,1.17,https://72hours.com/collections/school-survival-kits,0,0,0.00,0.39,0,"[59,100,17,11,7,9,9,7,9,1,2,32]",2025-08-15,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums, AI overview",informational,Organic
traction mats for cars,14,14,170,24,0.51,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,0.85,0,"[8,10,10,10,22,54,81,100,35,22,22,29]",2025-08-15,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
keychain door opener,20,20,320,27,0.78,https://72hours.com/products/contactless-door-opener-keychain-72hours,0,0,0.00,1,0,"[72,100,48,72,14,39,0,21,26,7,7,0]",2025-08-17,"Sitelinks, Reviews, Video, Image, Featured images, People also ask, Popular products",informational,Organic
clipboard with cover,8,8,170,5,2.11,https://72hours.com/products/clipboard-with-cover,0,0,0.00,1,0,"[65,65,65,34,43,34,53,43,53,53,34,34]",2025-08-29,"Sitelinks, Reviews, AMP, Image, Featured images, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
backpack emergency,9,9,260,23,0.75,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[100,54,44,28,18,54,35,15,15,8,11,81]",2025-08-16,"Sitelinks, Reviews, Image, Shopping ads, Featured images, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
traction mats,13,13,880,13,1.40,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,1,0,"[20,24,24,24,41,54,66,66,36,20,24,24]",2025-09-03,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Things to know, Discussions and forums",commercial,Organic
survival kit 72 hours,8,8,170,37,0.81,https://72hours.com/,0,0,0.00,1,0,"[43,35,53,82,35,53,35,35,100,0,0,0]",2025-09-06,"Sitelinks, Image, Video Carousel, People also ask, Popular products",commercial,Organic
toilet lid for 5 gallon bucket,15,15,210,12,0.34,https://72hours.com/products/snap-on-toilet-lid,0,0,0.00,1,0,"[35,35,43,53,53,53,43,43,53,43,66,82]",2025-09-10,"Reviews, Video, AMP, Image, Featured images, People also ask, Popular products","informational, transactional",Organic
72 hour backpack,3,3,170,25,0.86,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[65,53,53,65,65,53,65,43,43,43,34,65]",2025-09-03,"Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
fire blanket for house,12,12,720,27,1.21,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[30,36,36,45,81,81,81,24,24,24,16,20]",2025-08-17,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
mre pack,7,7,320,36,0.52,https://72hours.com/collections/mres,0,0,0.00,1,0,"[59,9,0,100,11,26,14,21,17,59,48,26]",2025-09-05,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
crank flashlight,4,4,1000,33,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[62,62,62,100,81,55,81,55,55,55,62,45]",2025-08-27,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
72 hour food kit,11,11,210,33,1.24,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[35,54,100,81,35,22,54,35,35,29,22,29]",2025-09-03,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Discussions and forums",commercial,Organic
backpack survival kit,5,5,260,29,0.66,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[4,29,15,44,15,81,81,81,12,12,9,36]",2025-09-03,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
best hand crank flashlight,3,3,170,25,0.43,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[53,42,80,100,100,80,100,53,65,80,53,53]",2025-09-01,"Sitelinks, Reviews, Video, Image, Shopping ads, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
crank flashlights,3,3,260,26,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[81,66,66,100,81,43,100,43,35,35,10,35]",2025-08-26,"Sitelinks, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
stove fuel tablets,17,17,260,8,0.20,https://72hours.com/products/folding-stove-w-24-fuel-tablets,0,0,0.00,1,0,"[0,81,44,0,29,0,0,36,23,15,67,54]",2025-08-26,"Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums, Explore brands","informational, transactional",Explore brands
