Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mountain house can,10,10,30,16,0.75,https://72hours.com/products/mountain-house-ground-beef-gf-10-can,0,0,0.00,0.86,1720000000,"[7,10,5,7,7,5,7,5,10,7,5,12]",2025-09-10,"Image pack, Sitelinks, Video, Ads bottom, Popular products, Related searches, Ads middle","informational, transactional",Organic
car safety kits,47,47,260,26,0.58,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,153000000,"[13,16,5,6,36,45,30,4,4,2,8,5]",2025-09-03,"Image pack, Video, Image, FAQ, Popular products, Related searches, Discussions and forums",commercial,Organic
72 hours survival kit,33,33,260,29,0.79,https://72hours.com/collections/essential-emergency-survival-kit,0,0,0.00,0.79,35400000,"[5,5,2,3,5,36,100,67,3,7,12,100]",2025-10-07,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
emergency auto kits,73,73,170,37,0.55,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,26200000,"[8,3,11,11,5,16,1,7,13,11,8,8]",2025-09-04,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
12 hour candles,36,36,40,0,0.00,https://72hours.com/products/36-hour-candle-survival,0,0,0.00,1,37500000,"[1,1,1,1,1,8,5,1,1,1,1,1]",2025-09-01,"Image pack, Video, Popular products, Related searches","informational, transactional",Organic
gluten free dairy free emergency food,25,25,30,13,0.98,https://72hours.com/collections/gluten-free-emergency-ration,0,0,0.00,1,2610000,"[18,18,18,100,18,18,18,18,18,18,18,18]",2025-08-27,"Sitelinks, Image, Recipes, Popular products, Related searches, Explore brands, AI overview",commercial,Explore brands
traction mat car,4,4,70,20,0.51,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,0.85,10100000,"[10,0,12,12,17,43,2,82,35,5,7,7]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Image pack
traction mat car,10,10,70,20,0.51,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,0.85,10100000,"[10,0,12,12,17,43,2,82,35,5,7,7]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
jetboil 1.5 l ceramic fluxring cook pot,17,17,40,17,0.00,https://72hours.com/products/jetboil-1-5l-ceramic-fluxring-cook-pot,0,0,0.00,1,13100,"[14,50,14,14,100,100,14,14,14,14,14,14]",2025-08-24,"Knowledge panel, Sitelinks, Video, Shopping ads, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
tire traction mats,15,15,140,8,0.47,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,1,6380000,"[6,9,12,12,23,36,36,36,15,12,12,15]",2025-08-14,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
mountain house eggs,4,4,90,13,0.52,https://72hours.com/products/mountain-house-scrambled-eggs-with-bacon-pouch-one-serving-1,0,0,0.00,1,44300000,"[64,29,64,29,41,29,64,64,52,64,41,41]",2025-08-23,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, Explore brands","informational, transactional",Explore brands
auto emergency kit,54,54,2400,41,0.44,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,147000000,"[35,44,44,100,44,54,23,7,8,10,12,16]",2025-09-22,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
wise mre,23,23,30,27,1.17,https://72hours.com/collections/readywise-food-storage,0,0,0.00,0.27,371000,"[9,9,9,9,9,9,9,9,9,14,23,23]",2025-09-04,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
roll of duck tape,47,47,40,26,1.09,https://72hours.com/products/duct-tape,0,0,0.00,1,16800000,"[14,21,14,21,100,78,21,7,64,7,0,0]",2025-09-02,"Image pack, Sitelinks, Video, Image, Ads bottom, Popular products, Related searches, Ads middle","informational, transactional",Organic
long lasting emergency candles,24,24,40,7,0.42,https://72hours.com/products/36-hour-candle-survival,0,0,0.00,1,15300000,"[9,9,9,80,9,14,19,9,9,9,9,9]",2025-08-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
fire prevention blanket,21,21,30,16,1.43,https://72hours.com/collections/fire-blanket,0,0,0.00,1,15600000,"[18,18,18,18,100,100,45,0,0,0,0,9]",2025-08-27,"Image pack, Video, Image, Shopping ads, Popular products, Related searches",commercial,Organic
wooden splints,23,23,110,9,0.00,https://72hours.com/products/wooden-splint-22-86cm-x-5-08cm-2x-9,0,0,0.00,0.05,2900000,"[5,36,19,7,29,15,12,12,12,0,0,0]",2025-09-01,"Image pack, Video, Image, Related searches",informational,Organic
long burn emergency candles,14,14,50,7,0.23,https://72hours.com/products/36-hour-candle-survival,0,0,0.00,1,1360000,"[35,35,50,64,50,0,0,50,50,50,35,0]",2025-08-16,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",transactional,Organic
camping emergency tent,5,5,90,8,0.62,https://72hours.com/products/tube-tent,0,0,0.00,1,16000000,"[100,82,29,29,41,52,64,29,41,29,52,52]",2025-08-23,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
fire blanket made in usa,38,38,90,12,1.51,https://72hours.com/collections/fire-blanket,0,0,0.00,1,28600000,"[11,14,9,11,17,21,7,3,1,1,0,0]",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
tire traction mat,18,18,30,13,0.47,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,1,5250000,"[14,9,9,0,23,14,33,52,4,9,0,14]",2025-08-27,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
meal ready to eat military,38,38,140,28,0.55,https://72hours.com/collections/mres,0,0,0.00,1,23900000,"[11,26,11,17,26,7,7,21,9,21,3,17]",2025-08-21,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
fire blanket for kitchen fires,58,58,70,14,1.67,https://72hours.com/collections/fire-blanket,0,0,0.00,0.27,1570000,"[6,6,6,6,6,6,6,6,34,34,34,100]",2025-09-05,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
mountain house food buckets,18,18,40,23,0.57,https://72hours.com/products/entree-assortment-bucket-12-pouches-mountain-house,0,0,0.00,1,4000000,"[18,18,100,45,36,45,36,18,18,18,18,45]",2025-09-07,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
5 gallon mylar storage bags,17,17,170,18,0.89,https://72hours.com/products/5-gallon-mylar-bag-open-end,0,0,0.00,1,325000,"[81,100,65,100,34,53,43,21,15,28,65,53]",2025-08-19,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
car tool kit emergency,51,51,40,25,0.40,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,74600000,"[18,18,18,18,100,100,18,36,45,36,27,27]",2025-08-18,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
mountan house,50,50,50,52,1.00,https://72hours.com/collections/mountain-house,0,0,0.00,0.78,4280000000,"[1,1,1,1,0,1,1,1,1,1,1,1]",2025-08-27,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Popular products, Related searches","commercial, navigational",Organic
mountain house 10 can,14,14,50,17,0.94,https://72hours.com/products/mountain-house-ground-beef-gf-10-can,0,0,0.00,1,1520000000,"[17,17,7,17,12,10,17,10,12,12,7,17]",2025-09-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
fire blanket manufacturer,64,64,30,11,2.32,https://72hours.com/collections/fire-blanket,0,0,0.00,0.5,9400000,"[28,28,28,28,28,28,42,57,42,42,57,42]",2025-08-21,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
lrp rations,51,51,90,18,0.55,https://72hours.com/collections/mres,0,0,0.00,0.74,29300,"[35,50,78,64,64,50,64,78,64,78,64,78]",2025-08-20,"Knowledge panel, Sitelinks, Video, People also ask, Popular products, Related searches",informational,Organic
72 hour go bag,28,28,70,35,0.68,https://72hours.com/collections/emergency-kit,0,0,0.00,1,113000000,"[6,5,5,15,5,2,23,12,15,9,15,12]",2025-08-19,"Image pack, Sitelinks, Video, Related searches",commercial,Organic
72 hour go bag,81,81,70,35,0.68,https://72hours.com/collections/essential-emergency-survival-kit,0,0,0.00,1,113000000,"[6,5,5,15,5,2,23,12,15,9,15,12]",2025-08-19,"Image pack, Sitelinks, Video, Related searches",commercial,Organic
auto emergency tool kit,38,38,720,27,0.46,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,53000000,"[30,100,41,36,54,30,7,8,8,13,13,10]",2025-10-02,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, Explore brands","informational, transactional",Organic
3600 calorie emergency food bar,40,40,50,3,0.00,https://72hours.com/products/3600-calorie-s-o-s-emergency-food-ration,0,0,0.00,0,386000,"[44,55,44,22,22,33,55,55,55,77,77,100]",2025-08-16,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
emergency bag car,35,35,90,40,0.54,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,112000000,"[3,3,3,28,18,23,0,15,28,15,23,23]",2025-08-28,"Image pack, Sitelinks, Video, Image, Related searches, Explore brands",commercial,Explore brands
cheap emergency kit,57,57,50,55,0.47,https://72hours.com/collections/emergency-kit,0,0,0.00,1,21900000,"[63,81,45,81,45,81,0,63,27,0,0,100]",2025-08-19,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, Explore brands",transactional,Organic
gluten free storage food,80,80,30,14,2.09,https://72hours.com/collections/gluten-free-emergency-ration,0,0,0.00,0.9,77400000,"[18,18,18,45,0,0,36,45,27,27,27,27]",2025-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
cheap survival kits,80,80,70,25,0.47,https://72hours.com/collections/emergency-kit,0,0,0.00,1,60000000,"[21,34,21,34,15,28,6,21,21,9,6,28]",2025-08-25,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, Explore brands",transactional,Organic
disposable flashlight,11,11,90,3,0.18,https://72hours.com/products/disposable-paramedic-flashlight-with-pupil-gauge,0,0,0.00,1,3980000,"[64,78,78,78,64,78,64,50,64,50,78,78]",2025-09-07,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
camping cooking burner,70,70,70,39,0.30,https://72hours.com/products/piezo-ignition-compact-camping-stove,0,0,0.00,1,8650000,"[100,63,63,63,45,45,45,63,63,63,63,18]",2025-08-23,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, Explore brands","informational, transactional",Organic
pet emergency kit,92,92,390,35,0.47,https://72hours.com/collections/pet-emergency-preparedness,0,0,0.00,0.68,93900000,"[29,36,44,54,29,23,81,44,81,54,81,100]",2025-08-25,"Image pack, Video, Popular products, Related searches, Discussions and forums",commercial,Organic
snow traction mats,29,29,140,17,0.34,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,0,0.00,0.95,93,"[4,2,5,5,17,17,39,39,11,5,4,3]",2025-08-25,"Image pack, Video, Image, Related searches",commercial,Organic
car survival kit,69,69,1900,47,0.41,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,59800000,"[16,16,22,100,29,65,43,43,54,36,65,36]",2025-10-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
sam splint wrist,40,40,40,17,0.48,https://72hours.com/products/wrist-splint-9-x-4-25-sam-medical,0,0,0.00,0.54,568000,"[9,9,9,52,9,9,9,9,66,9,9,9]",2025-08-29,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
fire proof blanket,26,26,1000,23,1.04,https://72hours.com/collections/fire-blanket,0,0,0.00,0.85,20400000,"[2,8,66,16,100,27,8,24,7,8,13,80]",2025-10-06,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, Explore brands","informational, transactional",Organic
firw blanket,47,47,30,41,1.33,https://72hours.com/collections/fire-blanket,0,0,0.00,1,131000000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2025-09-04,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
best fire blanket for home use,24,24,140,10,0.87,https://72hours.com/collections/fire-blanket,0,0,0.00,1,99800000,"[34,19,26,65,80,100,42,19,65,65,42,53]",2025-08-23,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
gordon emergency survival kit,76,76,70,25,0.00,https://72hours.com/collections/emergency-kit,0,0,0.00,1,76,"[19,42,15,19,19,80,26,15,19,19,19,26]",2025-08-26,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
300cc oxygen absorbers,21,21,210,2,2.59,https://72hours.com/products/300-cc-oxygen-absorbers,0,0,0.00,0.78,99,"[2,2,2,2,2,2,23,67,36,36,100,10]",2025-09-02,"Image pack, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Discussions and forums, Ads middle",transactional,Organic
rem meals,27,27,30,34,1.04,https://72hours.com/collections/mres,0,0,0.00,1,15600000,"[18,18,18,100,18,18,18,18,18,18,18,18]",2025-08-27,"Image pack, Sitelinks, Video, Related searches, Discussions and forums","commercial, informational",Organic
fire cover blanket,16,16,50,12,1.09,https://72hours.com/collections/fire-blanket,0,0,0.00,1,38100000,"[36,100,18,18,100,18,100,18,18,18,18,18]",2025-08-22,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
emergency kits for cars,56,56,260,42,0.49,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,33800000,"[3,16,8,8,100,16,10,55,8,5,5,8]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
how does hand crank flashlight work,44,44,70,19,0.00,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,0,666000,"[45,63,45,63,45,63,45,45,63,81,63,63]",2025-09-02,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
mountain house 30 day supply,42,42,40,16,0.99,https://72hours.com/products/mountain-house-72-hour-emergency-meal-kit,0,0,0.00,1,177000000,"[7,15,15,26,19,11,42,11,11,11,11,15]",2025-08-27,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
military ready to eat meals,50,50,1000,24,0.49,https://72hours.com/collections/mres,0,0,0.00,1,16800000,"[11,24,44,34,100,24,24,30,30,24,30,24]",2025-09-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
mondoshop fire blanket,24,24,70,21,0.54,https://72hours.com/collections/fire-blanket,0,0,0.00,1,29,"[52,52,9,19,33,80,33,14,19,19,9,9]",2025-08-24,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
insulated blankets for food,51,51,40,7,10.27,https://72hours.com/products/thermal-blanket,0,0,0.00,1,8790000,"[18,18,100,100,18,18,18,18,18,18,18,18]",2025-08-16,"Image pack, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
mre heater packs,64,64,50,27,0.31,https://72hours.com/products/xmre-12-meal-case-with-flameless-heaters,0,0,0.00,0.45,79000,"[12,6,12,15,65,9,6,12,3,9,6,43]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
lasagna mountain house,6,6,50,15,0.45,https://72hours.com/products/mountain-house-lasagna-with-meat-sauce-pouch-one-serving,0,0,0.00,1,2430000,"[100,81,0,63,45,0,45,45,27,63,81,100]",2025-08-21,"Knowledge panel, Image pack, Video, Recipes, Related searches","informational, transactional",Organic
72 hour emergency food kit,23,23,90,27,1.18,https://72hours.com/collections/emergency-kit,0,0,0.00,1,13900000,"[21,28,53,43,21,15,34,34,28,21,21,15]",2025-08-20,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
72 hour emergency food kit,57,57,90,27,1.18,https://72hours.com/collections/essential-emergency-survival-kit,0,0,0.00,1,13900000,"[21,28,53,43,21,15,34,34,28,21,21,15]",2025-08-20,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
wool fire blanket,39,39,140,3,1.54,https://72hours.com/collections/fire-blanket,0,0,0.00,1,9890000,"[65,42,42,42,100,80,80,34,42,42,42,34]",2025-09-10,"Image pack, Sitelinks, Video, Ads bottom, Shopping ads, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
bulk survival kits,65,65,40,27,2.31,https://72hours.com/collections/emergency-kit,0,0,0.00,0.98,15800000,"[18,18,100,81,18,27,63,36,18,18,18,18]",2025-08-15,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
pet survival kit,63,63,30,24,0.44,https://72hours.com/collections/pet-emergency-preparedness,0,0,0.00,1,34800000,"[9,9,23,52,9,9,9,9,9,9,9,14]",2025-09-08,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
where can i buy a fire blanket,16,16,210,26,0.91,https://72hours.com/collections/fire-blanket,0,0,0.00,1,65700000,"[35,35,18,23,66,100,28,18,15,15,18,15]",2025-08-16,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
water ration,19,19,30,1,0.44,https://72hours.com/collections/water-rations,0,0,0.00,0.66,49300000,"[19,19,11,15,7,11,26,0,0,7,0,15]",2025-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,Organic
discount mre meals,69,69,90,16,0.48,https://72hours.com/collections/mres,0,0,0.00,1,919000,"[100,80,42,52,23,23,33,23,33,19,33,23]",2025-08-27,"Image pack, Sitelinks, Video, Image, Ads bottom, Popular products, Related searches, Discussions and forums, Ads middle",commercial,Organic
portable toilet kit,19,19,70,5,0.73,https://72hours.com/products/portable-toilet,0,0,0.00,0.97,40700000,"[52,14,14,19,14,14,23,33,52,52,66,66]",2025-09-01,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
mylar thermal space blanket,31,31,110,21,0.82,https://72hours.com/products/thermal-blanket,0,0,0.00,1,326000,"[34,42,34,42,26,53,53,26,11,34,53,53]",2025-09-08,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Ads middle",commercial,Organic
thermal blanket waterproof,64,64,30,11,0.27,https://72hours.com/products/thermal-blanket,0,0,0.00,0.81,3510000,"[18,0,18,18,100,100,18,0,18,18,0,0]",2025-09-09,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
emergency food and water kits,28,28,30,44,1.45,https://72hours.com/collections/emergency-kit,0,0,0.00,1,72700000,"[100,100,40,40,40,40,80,40,40,40,40,40]",2025-08-22,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, Explore brands",transactional,Explore brands
family reunion survival kit,85,85,30,13,0.22,https://72hours.com/products/5-person-essential-kit,0,0,0.00,0.96,662000,"[100,18,18,18,18,18,18,18,18,18,18,18]",2025-09-04,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic
termic blanket,17,17,70,18,0.74,https://72hours.com/products/thermal-blanket,0,0,0.00,1,200000000,"[0,0,0,100,0,0,0,0,0,0,0,0]",2025-08-18,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
emergency tool kit,49,49,140,33,0.82,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,147000000,"[42,80,80,100,66,80,52,52,66,42,52,42]",2025-08-19,"Image pack, Sitelinks, Video, Image, Shopping ads, People also ask, Popular products, Related searches",transactional,Organic
mountain house food gluten free,14,14,70,25,0.52,https://72hours.com/products/mountain-house-ground-beef-gf-10-can,0,0,0.00,1,17500000,"[100,81,45,81,45,63,45,45,27,63,81,100]",2025-09-08,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
jet boil genesis,67,67,210,38,0.52,https://72hours.com/products/jetboil-genesis-base-camp-system,0,0,0.00,1,192000,"[3,4,4,4,2,2,2,30,8,10,7,36]",2025-08-26,"Knowledge panel, Image pack, Sitelinks, Video, Shopping ads, People also ask, Related products, Related searches, Discussions and forums","informational, transactional",Organic
lifestraw universal,21,21,30,23,0.69,https://72hours.com/products/lifestraw-universal,0,0,0.00,0.93,237000,"[11,11,11,11,11,11,11,11,11,11,11,64]",2025-09-04,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
mylar bag for 5 gallon bucket,42,42,40,12,1.02,https://72hours.com/products/5-gallon-mylar-bag-open-end,0,0,0.00,1,69900,"[12,12,12,15,15,3,12,15,12,15,15,9]",2025-08-14,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
fire towel kitchen,47,47,140,21,1.07,https://72hours.com/collections/fire-blanket,0,0,0.00,0.95,44600000,"[100,81,4,6,6,9,5,2,2,2,2,2]",2025-08-24,"Image pack, Video, Image, Related searches",commercial,Organic
heater meal,59,59,70,28,0.23,https://72hours.com/products/xmre-12-meal-case-with-flameless-heaters,0,0,0.00,1,12800000,"[26,19,11,100,34,42,65,15,11,0,3,3]",2025-08-16,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",navigational,Organic
mylan bags,42,42,30,26,1.46,https://72hours.com/collections/mylar-bags,0,0,0.00,1,3380000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-08-22,"Image pack, Video, Image, Ads top, Ads bottom, Shopping ads, Popular products, Related searches",commercial,Organic
food emergency kits,37,37,110,49,1.63,https://72hours.com/collections/emergency-kit,0,0,0.00,1,40300000,"[0,0,2,0,2,0,2,3,2,3,3,3]",2025-08-18,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
camping stove compact,49,49,70,35,0.31,https://72hours.com/products/piezo-ignition-compact-camping-stove,0,0,0.00,1,8620000,"[0,34,26,34,3,3,0,42,19,26,19,100]",2025-08-23,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Image pack
readywise fruit bucket,10,10,30,16,1.38,https://72hours.com/collections/readywise-food-storage,0,0,0.00,1,30900,"[100,100,18,18,18,18,18,18,18,18,18,18]",2025-09-08,"Knowledge panel, Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview","informational, transactional",Organic
readywise fruit bucket,27,27,30,16,1.38,https://72hours.com/products/readywise-360-serving-fruit-bucket,0,0,0.00,1,30900,"[100,100,18,18,18,18,18,18,18,18,18,18]",2025-09-08,"Knowledge panel, Image pack, Video, Image, People also ask, Popular products, Related searches, AI overview","informational, transactional",Image pack
coffee jetboil,44,44,90,25,0.32,https://72hours.com/collections/cooking/products/jetboil-silicone-coffee-press-regular,0,0,0.00,1,393000,"[54,18,18,54,8,0,4,18,10,14,14,18]",2025-08-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
2 person elite survival kit 72 hours,51,51,40,6,0.00,https://72hours.com/products/2-person-72hrs-essential-backpack-emergency-survival-kit,0,0,0.00,0,5190000,"[0,0,0,0,0,0,0,0,5,0,5,100]",2025-09-02,"Image pack, Video, Image, Popular products, Related searches",transactional,Organic
affirm credit apply,51,51,140,57,3.28,https://72hours.com/pages/affirm,0,0,0.00,0.67,41600000,"[28,23,15,35,35,28,11,8,11,11,15,23]",2025-08-29,"Sitelinks, Video, Related searches",navigational,Organic
military food packet,70,70,140,21,0.65,https://72hours.com/collections/mres,0,0,0.00,1,73300000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2025-08-19,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
classroom emergency kit,16,16,50,30,2.43,https://72hours.com/collections/school-survival-kits,0,0,0.00,1,27800000,"[21,78,78,28,21,14,35,35,28,35,35,35]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
portable toliet,59,59,480,23,1.84,https://72hours.com/products/portable-toilet,0,0,0.00,1,110000000,"[29,0,5,13,1,4,4,10,8,3,5,8]",2025-09-10,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Things to know",commercial,Organic
milar bags,38,38,210,25,1.46,https://72hours.com/collections/mylar-bags,0,0,0.00,1,3540000,"[6,10,0,0,0,2,24,13,45,10,20,20]",2025-08-26,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
mountain house.com,19,19,40,32,0.00,https://72hours.com/collections/mountain-house,0,0,0.00,0,781000000,"[35,35,50,35,28,21,21,28,35,21,14,28]",2025-09-06,"Sitelinks, Video, Popular products",navigational,Organic
new toilet lid,90,90,50,30,0.24,https://72hours.com/products/snap-on-toilet-lid,0,0,0.00,1,31900000,"[53,65,42,0,34,0,0,19,0,19,0,3]",2025-08-27,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, Explore brands","informational, transactional",Organic
vehicle emergency bag,62,62,210,43,0.54,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,58400000,"[35,43,29,54,43,54,100,35,22,29,29,29]",2025-08-26,"Image pack, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
fire truck blanket,72,72,140,12,0.89,https://72hours.com/collections/fire-blanket,0,0,0.00,0.98,85,"[43,43,53,53,100,65,34,28,28,21,28,21]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches","commercial, informational",Organic
buy portable toilet,46,46,6600,25,1.30,https://72hours.com/products/portable-toilet,0,0,0.00,1,58000000,"[100,44,54,54,29,19,1,3,10,81,81,12]",2025-10-05,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
fire blankets for home,40,40,40,28,1.21,https://72hours.com/collections/fire-blanket,0,0,0.00,1,48700000,"[7,0,0,7,19,0,100,11,3,3,3,7]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
survival tablets food,41,41,210,13,0.43,https://72hours.com/products/survival-tabs-gluten-free-chocolate,0,0,0.00,1,48600000,"[54,43,43,66,22,35,35,54,22,22,43,66]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
car emergency kit,65,65,6600,50,0.41,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,292000000,"[36,44,36,100,36,24,24,19,19,19,29,24]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, Explore brands",commercial,Organic
72 hour emergency survival kit list,14,14,90,37,0.36,https://72hours.com/collections/emergency-kit,0,0,0.00,0.99,24700000,"[64,50,64,100,50,50,78,50,28,64,100,100]",2025-08-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
hand cranked flashlight,40,40,390,29,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,2000000,"[21,48,17,59,100,48,39,21,7,100,26,26]",2025-09-01,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Organic
